iter	Passed	Remaining
0	71	71913
1	91	45880
2	111	37097
3	134	33443
4	156	31138
5	178	29632
6	201	28517
7	223	27695
8	254	28022
9	273	27053
10	291	26181
11	305	25138
12	319	24247
13	336	23668
14	352	23172
15	367	22586
16	381	22067
17	395	21602
18	411	21244
19	432	21204
20	454	21187
21	476	21178
22	491	20888
23	509	20706
24	523	20416
25	537	20118
26	552	19922
27	566	19649
28	581	19486
29	599	19381
30	625	19561
31	645	19516
32	664	19469
33	687	19528
34	708	19526
35	726	19451
36	744	19365
37	763	19334
38	780	19239
39	799	19196
40	815	19063
41	831	18971
42	850	18922
43	864	18783
44	880	18687
45	896	18591
46	910	18468
47	925	18363
48	939	18225
49	952	18095
50	970	18059
51	987	18011
52	1003	17922
53	1017	17816
54	1031	17730
55	1050	17704
56	1067	17665
57	1084	17616
58	1099	17541
59	1112	17429
60	1127	17351
61	1143	17299
62	1159	17243
63	1175	17195
64	1193	17162
65	1207	17081
66	1221	17009
67	1237	16963
68	1258	16975
69	1276	16955
70	1293	16927
71	1309	16874
72	1324	16817
73	1338	16743
74	1352	16682
75	1367	16625
76	1382	16577
77	1399	16541
78	1413	16480
79	1428	16430
80	1445	16400
81	1465	16404
82	1483	16390
83	1499	16356
84	1512	16283
85	1529	16252
86	1544	16208
87	1560	16172
88	1575	16122
89	1591	16088
90	1605	16038
91	1618	15973
92	1633	15935
93	1650	15904
94	1668	15894
95	1689	15907
96	1711	15935
97	1729	15918
98	1749	15924
99	1769	15928
100	1789	15930
101	1809	15927
102	1823	15884
103	1841	15868
104	1859	15850
105	1880	15856
106	1896	15826
107	1913	15801
108	1927	15754
109	1942	15714
110	1956	15666
111	1969	15614
112	1982	15561
113	1997	15521
114	2011	15481
115	2025	15434
116	2039	15388
117	2055	15365
118	2077	15383
119	2099	15396
120	2120	15404
121	2140	15407
122	2162	15417
123	2181	15409
124	2198	15389
125	2215	15368
126	2229	15324
127	2245	15296
128	2262	15276
129	2278	15246
130	2296	15232
131	2314	15217
132	2327	15173
133	2341	15132
134	2355	15093
135	2368	15050
136	2382	15008
137	2397	14977
138	2412	14945
139	2427	14913
140	2444	14891
141	2462	14878
142	2482	14877
143	2505	14891
144	2528	14906
145	2546	14894
146	2570	14914
147	2595	14939
148	2622	14975
149	2640	14962
150	2658	14947
151	2675	14928
152	2694	14915
153	2720	14947
154	2735	14913
155	2748	14871
156	2765	14846
157	2778	14807
158	2795	14788
159	2812	14765
160	2827	14735
161	2841	14700
162	2856	14668
163	2869	14628
164	2883	14591
165	2901	14576
166	2919	14562
167	2934	14533
168	2948	14500
169	2963	14468
170	2974	14421
171	2987	14382
172	3004	14361
173	3020	14337
174	3037	14320
175	3057	14315
176	3074	14296
177	3096	14297
178	3119	14307
179	3141	14311
180	3164	14318
181	3178	14286
182	3191	14246
183	3205	14215
184	3222	14196
185	3238	14172
186	3252	14142
187	3268	14117
188	3282	14084
189	3298	14061
190	3313	14036
191	3330	14017
192	3350	14008
193	3366	13984
194	3381	13957
195	3396	13933
196	3410	13903
197	3423	13867
198	3436	13832
199	3451	13804
200	3465	13774
201	3478	13741
202	3492	13713
203	3508	13689
204	3520	13654
205	3537	13636
206	3555	13619
207	3570	13596
208	3589	13584
209	3604	13558
210	3620	13536
211	3633	13505
212	3647	13478
213	3663	13453
214	3677	13428
215	3692	13402
216	3707	13378
217	3721	13348
218	3734	13316
219	3747	13287
220	3764	13269
221	3781	13250
222	3793	13218
223	3808	13194
224	3823	13169
225	3838	13145
226	3853	13122
227	3868	13097
228	3883	13073
229	3898	13051
230	3914	13030
231	3929	13006
